lead_LEADQUALIFYCATION,contact_Код ПВЗ,lead_Вес (грамм)*,lead_Объявленная ценность (руб),lead_будущие покупки,lead_Сумма наложенного платежа (руб),lead_ACTUAL-FORMAT,lead_responsible_user_id,lead_Тариф Доставки,lead_Линейная длина (см),lead_utm_content,lead_Дата создания сделки,contact_LTV,sale_date,lead_LTV,lead_FORMNAME,outcome_unknown,lead_loss_reason_id,lead_Дата получения денег на Р/С
,SPB140,352.0,,не известно,,,MGR_0007,Посылка склад-склад,,,1761858000.0,10077.0,2025-11-01,,,False,,1763326800.0
a,YEVP3,1386.0,,не известно,,,MGR_0023,Посылка склад-склад,,704258743_5668147522_17363919476_type1_mobile_m.dzen.ru_none_0_205668147522_Евпатория,1761944400.0,15780.0,2025-11-01,,consult,False,,1763413200.0
,BRN10,1368.0,,не известно,,,MGR_0023,Посылка склад-склад,,,,97999.0,2025-11-01,79498.0,,False,,1763326800.0
,DON2,688.0,,не известно,,,MGR_0023,Посылка склад-склад,,,1761944400.0,,2025-11-01,,,False,,
,,672.0,,матрас,,,MGR_0002,Посылка склад-дверь,,703798483_5657074625_17331454991_type1_mobile_fb.ru_none_0_205657074625_Сургут,1761944400.0,8495.0,2025-11-01,,artraid-dem,False,,1763067600.0
,NVT2,882.0,,не известно,,,MGR_0023,Посылка склад-склад,,702701943_5629625133_17240887326_type1_mobile_ru.yandex.weatherplugin_none_0_205629625133_Novotitarovskaya,1761858000.0,12290.0,2025-11-01,,order_bak,False,,1763499600.0
,,,4990.0,не известно,4990.0,,MGR_0006,Посылка склад-склад,30.0,,1761944400.0,4990.0,2025-11-01,,,False,,
a,MSK647,684.0,,не известно,,,MGR_0007,Посылка склад-склад,,703567055_5662697986_17348930892_type1_desktop_dzen.ru_none_0_205662697986_Moscow,1761944400.0,8015.0,2025-11-01,,consult,False,,1763326800.0
a,ARKH58,1440.0,,не известно,,,MGR_0006,Посылка склад-склад,,704065388_5662698583_17348937439_type1_mobile_new-science.ru_none_0_205662698583_Архангельск,1761944400.0,14517.0,2025-11-01,,order_bak,False,,1763326800.0
a,REZH1,666.0,,не известно,,,MGR_0023,Посылка склад-склад,,703707488_5654792027_17324108122_type1_desktop_dzen.ru_none_0_205654792027_Rezh,1761858000.0,11030.0,2025-11-01,,consult,False,,1763499600.0
,VRN145,162.0,,не известно,,,MGR_0006,Посылка склад-склад,,702467952_5626407414_17362653599_type1_mobile_ya.ru_none_0_205626407414_Воронеж,1761944400.0,,2025-11-01,,,False,,
a,USS17,2872.0,,унив повязка,,,MGR_0002,Посылка склад-склад,,702239870_5623488181_17204803978_type1_mobile_ru.meteotrend.com_none_0_205623488181_Уссурийск,1761944400.0,25870.0,2025-11-01,,order_bak,False,,1764190800.0
,YAKT9,652.0,,не известно,,,MGR_0023,Посылка склад-склад,,,1761944400.0,11575.0,2025-11-01,,,False,,1763413200.0
,SPB287,708.0,,матрас,,,MGR_0002,Посылка склад-склад,,Неизвестно,1761944400.0,,2025-11-01,,,False,,
,KSD230,634.0,,не известно,,,MGR_0023,Посылка склад-склад,,,,9050.0,2025-11-01,,,False,,1763326800.0
,,656.0,,унив повязка,,,MGR_0006,Посылка склад-дверь,,115509254_5632603232_17256366549_type1_mobile_24smi.press_none_0_205632603232_Улан-Удэ,1761944400.0,8602.0,2025-11-01,,,False,,1764104400.0
,,2778.0,,одеяло,,,MGR_0002,Посылка склад-дверь,,115509254_5632603232_17256366549_type1_mobile_world-weather.ru_none_0_205632603232_Майма,1761944400.0,25314.0,2025-11-01,,,False,,
,,,8450.0,матрас,8450.0,,MGR_0002,Почта Посылка,40.0,702279529_5624026357_17208633173_type1_mobile_kam24.ru_none_0_205624026357_Vladivostok,1761944400.0,,2025-11-01,,,False,,
,SPB118,1678.0,,не известно,,,MGR_0023,Посылка склад-склад,,,1761944400.0,18345.0,2025-11-01,,,False,,1763326800.0
,,1306.0,,не известно,,,MGR_0007,Посылка склад-дверь,,17122444855,1761858000.0,,2025-11-01,,order_bak,False,,
,ARKH2,1978.0,,подушка,,,MGR_0002,Посылка склад-склад,,,,13867.0,2025-11-01,,,False,,1763326800.0
,DED2,450.0,,не известно,,,MGR_0001,Посылка склад-склад,,,,81906.0,2025-11-01,,,False,,1763326800.0
,,,,не известно,,,MGR_0023,Почта Посылка,,703798483_5657074626_17331454992_type1_mobile_ru.ok.android_none_0_205657074626_Kazan,1761944400.0,,2025-11-01,,artraid-dem,False,,
,DMO17,802.0,,не известно,,,MGR_0006,Посылка склад-склад,,704267307_5668233026_17364558414_type1_mobile_ru.yandex.weatherplugin_none_0_205668233026_Dzerzhinsky,1761944400.0,12939.0,2025-11-01,,artraid-dem,False,,1763586000.0
,SKB2,458.0,,не известно,,,MGR_0023,Посылка склад-склад,,118694610_5551390882_16900121683_type1_mobile_yandex.ru_none_0_54457019612_Сочи,,31221.0,2025-11-01,26408.0,,False,,1763326800.0
,,1392.0,,не известно,,,MGR_0023,Посылка склад-дверь,,704267307_5668233026_17364558414_type1_desktop_dzen.ru_none_0_205668233026_Старый Оскол,1761944400.0,,2025-11-01,,artraid-dem,False,,
,DMD12,7825.0,,не известно,,,MGR_0003,Посылка склад-склад,,,,167290.0,2025-11-01,,,False,,1763326800.0
,SPB18,654.0,,не известно,,,MGR_0006,Посылка склад-склад,,702865890_5632201688_17254360170_type1_desktop_dzen.ru_none_0_205632201688_Санкт-Петербург,1761944400.0,7047.0,2025-11-01,,,False,,1763326800.0
,SPB282,1766.0,,не известно,,,MGR_0003,Посылка склад-склад,,703707446_5654791199_17324106231_type1_mobile_m.dzen.ru_none_0_205654791199_Санкт-Петербург,1761512400.0,18395.0,2025-11-01,,order_bak,False,,1763326800.0
a,,1388.0,,матрас,,,MGR_0002,Посылка склад-дверь,,704413187_5671819828_17375610582_type1_mobile_b-port.com_none_0_205671819828_Якутск,1761944400.0,21177.0,2025-11-01,,consult,False,,1763586000.0
,,1202.0,,матрас,,,MGR_0002,Посылка склад-дверь,,703798483_5657074625_17331454991_type1_mobile_ru.zen.android_none_0_205657074625_Novosibirsk,1761944400.0,12485.0,2025-11-01,,artraid-dem,False,,1763413200.0
,RZN24,996.0,,не известно,,,MGR_0007,Посылка склад-склад,,703707446_5654791199_17324106230_type1_desktop_lenta.ru_none_0_205654791199_Рязань,1761944400.0,13960.0,2025-11-01,,order_bak,False,,1763326800.0
