row_id,contact_loyalty,lead_items_count,lead_total_quantity,lead_total_cost_from_composition,lead_has_health_supplement,lead_has_pillow,lead_has_mattress,lead_has_brace,lead_has_footwear,lead_has_accessory,lead_has_health_product,lead_categories_count,lead_has_linear_width,lead_linear_width,lead_discount_category,lead_discount,sale_hour,sale_dayofweek,sale_month,sale_ts,lead_source,timedelta_between_sale_and_creation,lead_created_ts,lead_created_dayofweek,lead_created_hour,lead_created_month,lead_has_shipping_cost,lead_shipping_cost,lead_has_length,lead_length,lead_price,lead_pipeline_id
0,new,2,521,2400,0,0,0,0,0,1,0,1,0,-1.0,unknown,-1.0,5,5,3,2025-03-01 05:35:06,unknown,6852,2025-03-01 03:40:54,5,3,3,0,-1.0,0,-1.0,2920,6892026
1,regular,2,301,2400,0,0,0,0,0,1,0,1,0,-1.0,unknown,-1.0,5,5,3,2025-03-01 05:51:04,npotpz.ru,1234,2025-03-01 05:30:30,5,5,3,0,-1.0,0,-1.0,2700,6892026
2,new,2,3,7800,0,0,0,1,0,0,0,1,0,-1.0,unknown,-1.0,5,5,3,2025-03-01 05:54:05,npotpz.ru,1715,2025-03-01 05:25:30,5,5,3,0,-1.0,0,-1.0,13200,6892026
3,regular,2,2,6000,0,0,0,1,0,0,0,1,0,-1.0,unknown,-1.0,6,5,3,2025-03-01 06:18:06,unknown,427,2025-03-01 06:10:59,5,6,3,0,-1.0,0,-1.0,4800,6892026
4,new,2,3,11100,0,0,0,0,1,1,0,2,0,-1.0,unknown,-1.0,6,5,3,2025-03-01 06:42:07,npotpz.ru,2449,2025-03-01 06:01:18,5,6,3,0,-1.0,0,-1.0,12825,6892026
5,unknown,2,2,2400,0,0,0,1,0,0,0,1,0,-1.0,unknown,-1.0,6,5,3,2025-03-01 06:47:06,unknown,11926,2025-03-01 03:28:20,5,3,3,0,-1.0,0,-1.0,3260,6892026
6,regular,2,3,10200,0,0,0,1,0,0,0,1,0,-1.0,unknown,-1.0,6,5,3,2025-03-01 06:55:08,unknown,1833,2025-03-01 06:24:35,5,6,3,0,-1.0,0,-1.0,13680,6892026
7,unknown,2,661,6000,0,0,0,1,0,0,0,1,1,30.0,unknown,-1.0,7,5,3,2025-03-01 07:07:08,npotpz.ru,85787,2025-02-28 07:17:21,4,7,2,1,686.72,0,-1.0,6360,6892026
8,new,1,2,6000,0,0,0,1,0,0,0,1,0,-1.0,unknown,-1.0,7,5,3,2025-03-01 07:08:09,npotpz.ru,3645,2025-03-01 06:07:24,5,6,3,0,-1.0,0,-1.0,10800,6892026
9,unknown,2,321,5700,0,0,0,1,0,0,0,1,0,-1.0,unknown,-1.0,7,5,3,2025-03-01 07:20:08,npotpz.ru,6852,2025-03-01 05:25:56,5,5,3,0,-1.0,0,-1.0,6020,6892026
