lead_Ширина,lead_Линейная высота (см),lead_Линейная высота (см)__was_missing,lead_Вид оплаты,returned_ts,returned_ts__is_present,lead_Служба доставки,lead_Компания Отправитель,lead_Ответственный за доставку,lead_is_deleted,lead_WIDTH,lead_Почтовый индекс,lead_group_id,lead_Масса (гр),lead_closed_at,contact_created_at,lead_utm_medium,lead_Категория и варианты выбора,received_ts,lead_Модель телефона,lead_id
21.0,9.0,1,наложенный платеж,,0,СДЭК до ПВЗ,ООО ТехПродЗдрав,,False,,,546538,,1763537165.0,1761943124,,S,1762602035.0,Не удалось узнать,LEAD_0217
30.0,9.0,1,наложенный платеж,,0,СДЭК до ПВЗ,ООО ТехПродЗдрав,,False,,,700242,,1763540068.0,1761906675,cpc,S,1762788797.0,Смартфон,LEAD_0220
30.0,9.0,1,наложенный платеж,,0,СДЭК до ПВЗ,ООО ТехПродЗдрав,,False,,,700242,,1763537251.0,1739328654,,S,1762748984.0,Смартфон,LEAD_0058
30.0,9.0,1,наложенный платеж,1970-01-01 00:00:01.764676322,1,СДЭК до ПВЗ,ООО ТехПродЗдрав,,False,,,700242,,1770729136.0,1761975991,,S,,Смартфон,LEAD_0221
30.0,9.0,1,наложенный платеж,,0,СДЭК до Двери,ООО ТехПродЗдрав,,False,,,0,,1763361085.0,1760961350,cpc,D,1762582993.0,Не удалось узнать,LEAD_0218
30.0,9.0,1,наложенный платеж,,0,СДЭК до ПВЗ,ООО ТехПродЗдрав,,False,,,700242,,1763620073.0,1754971137,cpc,S,1762850432.0,Смартфон,LEAD_0210
30.0,3.0,0,наложенный платеж,,0,Почта,ООО ТехПродЗдрав,,False,,,700242,218.0,1764052134.0,1687943663,,S,1763730346.0,Смартфон,LEAD_0219
30.0,9.0,1,наложенный платеж,,0,СДЭК до ПВЗ,ООО ТехПродЗдрав,,False,,,546538,,1763537091.0,1761976882,cpc,S,1762504344.0,Не удалось узнать,LEAD_0223
30.0,9.0,1,наложенный платеж,,0,СДЭК до ПВЗ,ООО ТехПродЗдрав,,False,,,700242,,1763537071.0,1761976205,cpc,I,1762501402.0,Смартфон,LEAD_0222
31.0,9.0,1,наложенный платеж,,0,СДЭК до ПВЗ,ООО ТехПродЗдрав,,False,,,700242,,1763620071.0,1761906608,cpc,C,1762849778.0,Не удалось узнать,LEAD_0207
