lead_utm_group,lead_utm_referrer,lead_tags,has_weight,lead_utm_referrer_site,lead_utm_id_1,lead_utm_id_3,lead_utm_device_type,lead_creation_date_quarter,lead_length,lead_payment_type,lead_delivery_type,lead_utm_campaign_missing,lead_group_missing,lead_height_bin,delivery_cost_missing,y_true,p0,p1,pred_label,error_type
unknown,unknown,npotpz,0,unknown,-1,-1,unknown,-1,-1.0,cash_on_delivery,pickup_point,1,1,unknown,1,0,0.11053300571617752,0.8894669942838225,1,fn_0
yur,unknown,Callibri,0,artraid,115509254,16624953471,desktop,-1,-1.0,cash_on_delivery,pickup_point,0,0,unknown,1,0,0.13468372789389582,0.8653162721061042,1,fn_0
yur,sleep,Callibri,0,npotpz,116543546,16700367732,desktop,-1,-1.0,cash_on_delivery,pickup_point,0,0,unknown,1,0,0.13347477654557693,0.8665252234544231,1,fn_0
yur,unknown,Callibri,1,artraid,115367108,16614645518,desktop,-1,80.0,cash_on_delivery,door_delivery,0,0,large,1,0,0.1393282294084488,0.8606717705915512,1,fn_0
yur,unknown,Callibri,0,artraid,115367108,16614645518,desktop,-1,-1.0,cash_on_delivery,pickup_point,0,0,unknown,1,0,0.13468372789389582,0.8653162721061042,1,fn_0
yur,unknown,npotpz,0,unknown,114252495,16807446710,tablet,-1,-1.0,cash_on_delivery,pickup_point,0,0,unknown,1,0,0.13140805746101314,0.8685919425389869,1,fn_0
unknown,unknown,ВХОДЯЩИЙ,0,unknown,-1,-1,unknown,-1,-1.0,cash_on_delivery,pickup_point,1,1,unknown,1,0,0.14520053105812358,0.8547994689418764,1,fn_0
yur,sleep,Callibri,0,npotpz,116543546,16700367732,desktop,-1,-1.0,cash_on_delivery,pickup_point,0,0,unknown,1,0,0.13347477654557693,0.8665252234544231,1,fn_0
yur,unknown,Callibri,0,artraid,114824436,16561246479,desktop,-1,-1.0,cash_on_delivery,pickup_point,0,0,unknown,1,0,0.13242721920411016,0.8675727807958898,1,fn_0
unknown,unknown,npotpz,0,unknown,-1,-1,unknown,-1,-1.0,cash_on_delivery,pickup_point,0,1,unknown,1,0,0.11744078457696139,0.8825592154230386,1,fn_0
yur,unknown,Callibri,0,artraid,115367108,16614645519,desktop,-1,-1.0,cash_on_delivery,door_delivery,0,0,unknown,1,0,0.14558997007104657,0.8544100299289534,1,fn_0
unknown,unknown,ВХОДЯЩИЙ,1,unknown,-1,-1,unknown,-1,23.0,cash_on_delivery,pickup_point,1,1,small,1,0,0.10393805887537888,0.8960619411246211,1,fn_0
unknown,unknown,ВХОДЯЩИЙ,0,unknown,-1,-1,unknown,-1,-1.0,cash_on_delivery,pickup_point,1,1,unknown,1,0,0.14520053105812358,0.8547994689418764,1,fn_0
unknown,unknown,artraid,0,unknown,-1,-1,unknown,-1,-1.0,cash_on_delivery,pickup_point,1,1,unknown,1,0,0.08242799466303274,0.9175720053369673,1,fn_0
unknown,unknown,artraid,0,unknown,-1,-1,unknown,-1,-1.0,cash_on_delivery,pickup_point,1,1,unknown,1,0,0.08242799466303274,0.9175720053369673,1,fn_0
unknown,unknown,ВХОДЯЩИЙ,0,unknown,-1,-1,unknown,-1,-1.0,cash_on_delivery,pickup_point,1,1,unknown,1,0,0.14520053105812358,0.8547994689418764,1,fn_0
yur,unknown,unknown,0,unknown,-1,-1,unknown,-1,-1.0,cash_on_delivery,pickup_point,1,0,unknown,1,0,0.1262496381437146,0.8737503618562854,1,fn_0
yur,sleep,tilda,0,npotpz,116543546,16700367732,desktop,-1,-1.0,cash_on_delivery,pickup_point,0,0,unknown,1,0,0.13246318165287163,0.8675368183471284,1,fn_0
yur,unknown,Callibri,0,artraid,115367108,16614645518,desktop,-1,-1.0,cash_on_delivery,door_delivery,0,0,unknown,1,0,0.14558997007104657,0.8544100299289534,1,fn_0
yur,sleep,Callibri,0,npotpz,116543546,16700367732,desktop,-1,-1.0,cash_on_delivery,pickup_point,0,0,unknown,1,0,0.13347477654557693,0.8665252234544231,1,fn_0
yur,unknown,npotpz,0,unknown,115509254,16624953470,desktop,-1,-1.0,cash_on_delivery,pickup_point,0,0,unknown,1,0,0.12311875782156023,0.8768812421784398,1,fn_0
unknown,unknown,artraid,0,unknown,-1,-1,unknown,-1,-1.0,cash_on_delivery,post,1,1,unknown,1,0,0.14653948485537172,0.8534605151446283,1,fn_0
unknown,unknown,unknown,0,unknown,-1,-1,unknown,-1,-1.0,cash_on_delivery,pickup_point,1,1,unknown,1,0,0.11642827439750236,0.8835717256024976,1,fn_0
yur,sleep,tilda,0,npotpz,116543546,16700367732,desktop,-1,-1.0,cash_on_delivery,pickup_point,0,0,unknown,1,0,0.13246318165287163,0.8675368183471284,1,fn_0
yur,unknown,artraid,0,unknown,-1,-1,unknown,-1,-1.0,cash_on_delivery,pickup_point,1,0,unknown,1,0,0.09254813249406357,0.9074518675059364,1,fn_0
yur,unknown,Callibri,0,artraid,114317050,16504389645,desktop,-1,-1.0,cash_on_delivery,door_delivery,0,0,unknown,1,0,0.1433932917844467,0.8566067082155533,1,fn_0
yur,unknown,npotpz,0,unknown,115367108,16614645519,desktop,-1,-1.0,cash_on_delivery,pickup_point,0,0,unknown,1,0,0.12311875782156023,0.8768812421784398,1,fn_0
unknown,unknown,npotpz,0,unknown,-1,-1,unknown,-1,-1.0,cash_on_delivery,door_delivery,1,1,unknown,1,0,0.13425820287808354,0.8657417971219165,1,fn_0
yur,sleep,Callibri,0,npotpz,116543546,16700367732,tablet,-1,-1.0,cash_on_delivery,pickup_point,0,0,unknown,1,0,0.13843935946812858,0.8615606405318714,1,fn_0
unknown,unknown,artraid,0,unknown,-1,-1,unknown,-1,-1.0,cash_on_delivery,pickup_point,1,1,unknown,1,0,0.08242799466303274,0.9175720053369673,1,fn_0
yur,unknown,npotpz,0,unknown,118108441,16842616428,desktop,-1,-1.0,cash_on_delivery,pickup_point,0,0,unknown,1,0,0.13026909993041558,0.8697309000695844,1,fn_0
yur,unknown,npotpz,0,unknown,115509254,16881572070,desktop,-1,-1.0,cash_on_delivery,pickup_point,0,0,unknown,1,0,0.13113382739386292,0.8688661726061371,1,fn_0
