lead_utm_group,lead_utm_referrer,lead_tags,has_weight,lead_utm_referrer_site,lead_utm_id_1,lead_utm_id_3,lead_utm_device_type,lead_creation_date_quarter,lead_length,lead_payment_type,lead_delivery_type,lead_utm_campaign_missing,lead_group_missing,lead_height_bin,delivery_cost_missing,y_true,p0,p1,pred_label,error_type
yur,sleep,tilda,0,npotpz,116543546,16700367732,mobile,-1,-1.0,cash_on_delivery,door_delivery,0,0,unknown,1,1,0.1785892767179995,0.8214107232820005,0,fp_0
yur,unknown,npotpz,0,unknown,116057578,16779908314,mobile,-1,-1.0,cash_on_delivery,pickup_point,0,0,unknown,1,1,0.17601662363679393,0.8239833763632061,0,fp_0
yur,unknown,npotpz,0,unknown,115509254,16624953471,mobile,-1,-1.0,cash_on_delivery,pickup_point,0,0,unknown,1,1,0.1724391511603427,0.8275608488396573,0,fp_0
unknown,unknown,artraid,0,unknown,-1,-1,unknown,-1,-1.0,cash_on_delivery,pickup_point,1,1,unknown,1,1,0.08242799466303274,0.9175720053369673,1,tn_0
yur,unknown,Callibri,0,artraid,114252495,16498717408,desktop,-1,-1.0,cash_on_delivery,pickup_point,0,0,unknown,1,1,0.13242721920411016,0.8675727807958898,1,tn_0
yur,unknown,Callibri,0,artraid,116057578,16779908314,mobile,-1,-1.0,cash_on_delivery,door_delivery,0,0,unknown,1,0,0.18870419428336416,0.8112958057166358,0,tp_0
yur,unknown,Callibri,0,artraid,115509254,16624953471,mobile,-1,-1.0,cash_on_delivery,pickup_point,0,0,unknown,1,1,0.17410672818636175,0.8258932718136383,0,fp_0
yur,unknown,npotpz,0,unknown,115509254,16624953471,mobile,-1,-1.0,cash_on_delivery,post,0,0,unknown,0,1,0.20377534695575705,0.796224653044243,0,fp_0
yur,unknown,npotpz,0,unknown,115509254,16624953471,mobile,-1,-1.0,cash_on_delivery,pickup_point,0,0,unknown,1,1,0.1724391511603427,0.8275608488396573,0,fp_0
yur,unknown,npotpz,0,unknown,114824436,16561246482,mobile,-1,-1.0,cash_on_delivery,pickup_point,0,0,unknown,1,1,0.16774820621525866,0.8322517937847413,0,fp_0
yur,sleep,Callibri,0,npotpz,116543546,16700367732,desktop,-1,-1.0,cash_on_delivery,pickup_point,0,0,unknown,1,1,0.13347477654557693,0.8665252234544231,1,tn_0
