lead_utm_group,lead_utm_referrer,lead_tags,has_weight,lead_utm_referrer_site,lead_utm_id_1,lead_utm_id_3,lead_utm_device_type,lead_creation_date_quarter,lead_length,lead_payment_type,lead_delivery_type,lead_utm_campaign_missing,lead_group_missing,lead_height_bin,delivery_cost_missing,y_true,p0,p1,pred_label,error_type
unknown,unknown,artraid,0,unknown,-1,-1,unknown,-1,-1.0,cash_on_delivery,pickup_point,1,1,unknown,1,1,0.08242799466303274,0.9175720053369673,1,tn_0
yur,unknown,Callibri,0,artraid,114252495,16498717408,desktop,-1,-1.0,cash_on_delivery,pickup_point,0,0,unknown,1,1,0.13242721920411016,0.8675727807958898,1,tn_0
yur,sleep,Callibri,0,npotpz,116543546,16700367732,desktop,-1,-1.0,cash_on_delivery,pickup_point,0,0,unknown,1,1,0.13347477654557693,0.8665252234544231,1,tn_0
yur,unknown,npotpz,0,unknown,118075886,16839114002,desktop,-1,-1.0,cash_on_delivery,pickup_point,0,0,unknown,1,1,0.12769203859426304,0.872307961405737,1,tn_0
unknown,unknown,artraid,0,unknown,-1,-1,unknown,-1,-1.0,cash_on_delivery,pickup_point,1,1,unknown,1,1,0.08242799466303274,0.9175720053369673,1,tn_0
yur,unknown,Callibri,0,artraid,115509254,16624953471,desktop,-1,-1.0,cash_on_delivery,pickup_point,0,0,unknown,1,1,0.13468372789389582,0.8653162721061042,1,tn_0
unknown,unknown,artraid,0,unknown,-1,-1,unknown,-1,-1.0,cash_on_delivery,pickup_point,1,1,unknown,1,1,0.08242799466303274,0.9175720053369673,1,tn_0
yur,sleep,Callibri,0,npotpz,116543546,16700367732,desktop,-1,-1.0,cash_on_delivery,door_delivery,0,0,unknown,1,1,0.13914450987441918,0.8608554901255808,1,tn_0
yur,unknown,Callibri,0,artraid,115509254,16624953471,desktop,-1,-1.0,cash_on_delivery,door_delivery,0,0,unknown,1,1,0.14558997007104657,0.8544100299289534,1,tn_0
yur,unknown,npotpz,0,unknown,117346546,16774715063,desktop,-1,-1.0,cash_on_delivery,pickup_point,0,0,unknown,1,1,0.12769203859426304,0.872307961405737,1,tn_0
yur,sleep,Callibri,0,npotpz,116543546,16700367732,desktop,-1,-1.0,cash_on_delivery,pickup_point,0,0,unknown,1,1,0.13347477654557693,0.8665252234544231,1,tn_0
yur,sleep,tilda,0,npotpz,116543546,16700367732,tablet,-1,-1.0,cash_on_delivery,post,0,0,unknown,0,1,0.14482495230982229,0.8551750476901777,1,tn_0
unknown,unknown,artraid,0,unknown,-1,-1,unknown,-1,-1.0,cash_on_delivery,pickup_point,1,1,unknown,1,1,0.08242799466303274,0.9175720053369673,1,tn_0
unknown,unknown,unknown,0,unknown,-1,-1,unknown,-1,-1.0,cash_on_delivery,pickup_point,1,1,unknown,1,1,0.11642827439750236,0.8835717256024976,1,tn_0
yur,unknown,npotpz,0,unknown,115509254,16624953471,desktop,-1,-1.0,cash_on_delivery,pickup_point,0,0,unknown,1,1,0.12311875782156023,0.8768812421784398,1,tn_0
unknown,unknown,artraid,0,unknown,-1,-1,unknown,-1,-1.0,cash_on_delivery,pickup_point,1,1,unknown,1,1,0.08242799466303274,0.9175720053369673,1,tn_0
yur,unknown,npotpz,0,unknown,115367108,16614645519,desktop,-1,-1.0,cash_on_delivery,post,0,0,unknown,0,1,0.14837918196680966,0.8516208180331903,1,tn_0
yur,sleep,tilda,0,npotpz,116543546,16700367732,desktop,-1,-1.0,cash_on_delivery,pickup_point,0,0,unknown,1,1,0.13246318165287163,0.8675368183471284,1,tn_0
unknown,unknown,npotpz,0,unknown,-1,-1,unknown,-1,-1.0,cash_on_delivery,pickup_point,1,1,unknown,1,1,0.11053300571617752,0.8894669942838225,1,tn_0
yur,unknown,Callibri,0,artraid,115367108,16614645518,desktop,-1,-1.0,cash_on_delivery,pickup_point,0,0,unknown,1,1,0.13468372789389582,0.8653162721061042,1,tn_0
yur,sleep,tilda,0,npotpz,116543546,16700367732,desktop,-1,-1.0,cash_on_delivery,pickup_point,0,0,unknown,1,1,0.13246318165287163,0.8675368183471284,1,tn_0
unknown,unknown,npotpz,0,unknown,-1,-1,unknown,-1,-1.0,cash_on_delivery,pickup_point,1,1,unknown,1,1,0.11053300571617752,0.8894669942838225,1,tn_0
unknown,unknown,unknown,0,unknown,-1,-1,unknown,-1,-1.0,online,pickup_point,1,1,unknown,1,1,0.03916257353964192,0.9608374264603581,1,tn_0
yur,unknown,Callibri,0,artraid,115509254,16624953470,desktop,-1,-1.0,cash_on_delivery,door_delivery,0,0,unknown,1,1,0.14558997007104657,0.8544100299289534,1,tn_0
unknown,unknown,npotpz,0,unknown,-1,-1,unknown,-1,-1.0,cash_on_delivery,pickup_point,1,1,unknown,1,1,0.11053300571617752,0.8894669942838225,1,tn_0
unknown,unknown,artraid,0,unknown,-1,-1,unknown,-1,-1.0,cash_on_delivery,pickup_point,1,1,unknown,1,1,0.08242799466303274,0.9175720053369673,1,tn_0
yur,sleep,Callibri,0,artraid,118289582,16857607959,desktop,-1,-1.0,cash_on_delivery,pickup_point,0,0,unknown,1,1,0.14437102085497255,0.8556289791450274,1,tn_0
yur,unknown,npotpz,0,unknown,115509254,16624953471,desktop,-1,-1.0,cash_on_delivery,post,0,0,unknown,0,1,0.14837918196680966,0.8516208180331903,1,tn_0
