lead_utm_group,lead_utm_referrer,lead_tags,has_weight,lead_utm_referrer_site,lead_utm_id_1,lead_utm_id_3,lead_utm_device_type,lead_creation_date_quarter,lead_length,lead_payment_type,lead_delivery_type,lead_utm_campaign_missing,lead_group_missing,lead_height_bin,delivery_cost_missing,y_true,p0,p1,pred_label,error_type
yur,unknown,Callibri,0,artraid,116057578,16779908314,mobile,-1,-1.0,cash_on_delivery,door_delivery,0,0,unknown,1,0,0.18870419428336416,0.8112958057166358,0,tp_0
yur,unknown,npotpz,0,unknown,115367108,16614645519,mobile,-1,-1.0,cash_on_delivery,pickup_point,0,0,unknown,1,0,0.1724391511603427,0.8275608488396573,0,tp_0
yur,sleep,Callibri,0,npotpz,116543546,16700367732,mobile,-1,-1.0,cash_on_delivery,post,0,0,unknown,0,0,0.18821951307899998,0.811780486921,0,tp_0
yur,unknown,npotpz,0,unknown,118075886,16839113999,mobile,-1,-1.0,cash_on_delivery,pickup_point,0,0,unknown,1,0,0.17803057063889727,0.8219694293611027,0,tp_0
yur,unknown,unknown,0,unknown,-1,-1,unknown,-1,-1.0,cash_on_delivery,door_delivery,1,0,unknown,1,0,0.16132461928271935,0.8386753807172806,0,tp_0
yur,unknown,unknown,0,unknown,-1,-1,unknown,-1,-1.0,cash_on_delivery,door_delivery,1,0,unknown,1,0,0.16132461928271935,0.8386753807172806,0,tp_0
yur,unknown,npotpz,0,unknown,115509254,16624953471,mobile,-1,-1.0,cash_on_delivery,pickup_point,0,0,unknown,1,0,0.1724391511603427,0.8275608488396573,0,tp_0
yur,unknown,npotpz,0,unknown,-1,-1,unknown,-1,-1.0,cash_on_delivery,post,1,0,unknown,0,0,0.15893713229662998,0.84106286770337,0,tp_0
yur,sleep,Callibri,0,artraid,118289541,16857606142,mobile,-1,-1.0,cash_on_delivery,pickup_point,0,0,unknown,1,0,0.1847876032513528,0.8152123967486472,0,tp_0
yur,sleep,Callibri,0,npotpz,116543546,16700367732,mobile,-1,-1.0,cash_on_delivery,pickup_point,0,0,unknown,1,0,0.17027104310049268,0.8297289568995073,0,tp_0
yur,sleep,Callibri,0,npotpz,116543546,16700367732,mobile,-1,-1.0,cash_on_delivery,pickup_point,0,0,unknown,1,0,0.17027104310049268,0.8297289568995073,0,tp_0
yur,sleep,Callibri,0,npotpz,116543546,16700367732,mobile,-1,-1.0,cash_on_delivery,pickup_point,0,0,unknown,1,0,0.17027104310049268,0.8297289568995073,0,tp_0
yur,unknown,npotpz,0,unknown,117331020,16773682588,mobile,-1,-1.0,cash_on_delivery,pickup_point,0,0,unknown,1,0,0.17803057063889727,0.8219694293611027,0,tp_0
yur,unknown,npotpz,0,unknown,115509254,16624953471,mobile,-1,-1.0,cash_on_delivery,door_delivery,0,0,unknown,1,0,0.1912978203175989,0.8087021796824011,0,tp_0
yur,sleep,Callibri,0,artraid,118289594,16857608550,mobile,-1,-1.0,cash_on_delivery,post,0,0,unknown,0,0,0.20572991692246778,0.7942700830775322,0,tp_0
unknown,unknown,unknown,0,unknown,-1,-1,unknown,-1,-1.0,cash_on_delivery,door_delivery,1,1,unknown,1,0,0.1517948386406468,0.8482051613593532,0,tp_0
yur,unknown,Callibri,0,artraid,118108441,16842616396,mobile,-1,-1.0,cash_on_delivery,pickup_point,0,0,unknown,1,0,0.18103796337510547,0.8189620366248945,0,tp_0
yur,unknown,Callibri,0,artraid,116057578,16779908314,mobile,-1,-1.0,cash_on_delivery,pickup_point,0,0,unknown,1,0,0.17565105449965557,0.8243489455003444,0,tp_0
yur,sleep,tilda,0,npotpz,116543546,16700367732,mobile,-1,-1.0,cash_on_delivery,pickup_point,0,0,unknown,1,0,0.17232301345579293,0.8276769865442071,0,tp_0
yur,sleep,Callibri,0,artraid,118289582,16857607959,mobile,-1,-1.0,cash_on_delivery,pickup_point,0,0,unknown,1,0,0.18590686735414552,0.8140931326458545,0,tp_0
gus,other,Callibri,0,artraid,701916285,17180797437,desktop,-1,-1.0,cash_on_delivery,post,0,0,unknown,0,0,0.17966030690907964,0.8203396930909204,0,tp_0
